Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Radial_D16.0mm_P7.50mm,126.492,-55.4736,-90.0,top
C2,1000uF,CP_Radial_D16.0mm_P7.50mm,126.492,-38.803646,-90.0,top
C3,100n 50V,C_0402_1005Metric,105.156,-66.864,90.0,top
C4,100n,C_0402_1005Metric,105.664,-72.517,90.0,top
C5,100n,C_0402_1005Metric,104.648,-72.517,90.0,top
C6,100n,C_0402_1005Metric,105.164,-62.357,-90.0,top
C7,100n 50V,C_0402_1005Metric,105.156,-96.836,90.0,top
C8,100n,C_0402_1005Metric,105.664,-102.489,90.0,top
C9,100n,C_0402_1005Metric,104.648,-102.489,90.0,top
C10,100n,C_0402_1005Metric,105.164,-92.329,-90.0,top
C11,100n 50V,C_0402_1005Metric,105.156,-111.949,90.0,top
C12,100n,C_0402_1005Metric,105.664,-117.602,90.0,top
C13,100n,C_0402_1005Metric,104.648,-117.602,90.0,top
C14,100n,C_0402_1005Metric,105.164,-107.442,-90.0,top
C15,100n 50V,C_0402_1005Metric,105.156,-51.624,90.0,top
C16,100n,C_0402_1005Metric,105.664,-57.277,90.0,top
C17,100n,C_0402_1005Metric,104.648,-57.277,90.0,top
C18,100n,C_0402_1005Metric,105.164,-47.117,-90.0,top
C19,12p 50V,C_0402_1005Metric,75.2582,-70.993,180.0,top
C20,12p 50V,C_0402_1005Metric,73.533,-64.262,0.0,top
C21,100n 50V,C_0402_1005Metric,63.8832,-55.372,90.0,top
C22,100n 50V,C_0402_1005Metric,60.7082,-61.3693,180.0,top
C23,100n 50V,C_0402_1005Metric,61.1912,-57.5593,180.0,top
C24,1u 25V,C_0402_1005Metric,73.025,-60.0964,0.0,top
C25,100n 50V,C_0402_1005Metric,61.1632,-60.3533,180.0,top
C26,1u 25V,C_0402_1005Metric,63.8582,-65.5603,-90.0,top
C27,100n 50V,C_0402_1005Metric,67.7913,-65.5521,-90.0,top
C28,100n 50V,C_0402_1005Metric,61.1912,-55.5273,180.0,top
C29,100n 50V,C_0402_1005Metric,67.6682,-55.3723,90.0,top
C30,100n 50V,C_0402_1005Metric,61.1352,-59.3373,180.0,top
C31,100n 50V,C_0402_1005Metric,61.1912,-56.5433,180.0,top
C32,100n 50V,C_0402_1005Metric,73.0276,-61.0362,0.0,top
C33,4.7uF 50V,C_1206_3216Metric,80.629,-61.817,0.0,top
C34,4.7uF 50V,C_1206_3216Metric,80.629,-59.404,0.0,top
C35,10nF 50V,C_0402_1005Metric,79.74,-63.595,0.0,top
C36,10nF,C_0402_1005Metric,82.407,-70.072,0.0,top
C37,47pF 50V,C_0402_1005Metric,87.614,-68.675,-90.0,top
C38,1nF 50V,C_0402_1005Metric,87.614,-66.77,90.0,top
C39,100n 50V,C_0402_1005Metric,86.233,-63.091,90.0,top
C40,47uF 10V,C_1206_3216Metric,88.122,-57.372,0.0,top
C41,47uF 10V,C_1206_3216Metric,88.122,-54.991,0.0,top
C42,2.2u 100V,C_1206_3216Metric,91.059,-101.473,-90.0,top
C43,2.2u 100V,C_1206_3216Metric,93.472,-101.473,-90.0,top
C44,330p 100V,C_0805_2012Metric,90.678,-95.758,90.0,top
C45,10n 100V,C_0805_2012Metric,83.566,-94.742,0.0,top
C46,470n 25V,C_0603_1608Metric,90.424,-105.41,-90.0,top
C47,10n 100V,C_0805_2012Metric,83.566,-92.583,0.0,top
C48,22n 100V,C_0805_2012Metric,80.645,-101.6,90.0,top
C49,330p 100V,C_0805_2012Metric,78.613,-101.6,-90.0,top
C50,22uF 25V,C_1206_3216Metric,76.581,-89.408,90.0,top
C51,22uF 25V,C_1206_3216Metric,74.168,-89.408,90.0,top
C52,22uF 25V,C_1206_3216Metric,64.516,-89.408,90.0,top
C53,22uF 25V,C_1206_3216Metric,66.929,-89.408,90.0,top
C54,22uF 25V,C_1206_3216Metric,69.342,-89.408,90.0,top
C55,22uF 25V,C_1206_3216Metric,71.755,-89.408,90.0,top
C56,22uF 25V,C_1206_3216Metric,78.994,-89.408,90.0,top
C57,22uF 25V,C_1206_3216Metric,62.103,-89.408,90.0,top
C58,100n 50V,C_0402_1005Metric,78.74,-54.582,90.0,top
D1,RED LED,LED_0805_2012Metric,100.711,-52.324,-90.0,top
D2,D,D_SMA,88.63,-62.071,90.0,top
D3,RED LED,LED_0805_2012Metric,59.69,-90.043,-90.0,top
D4,VS-6CWQ10FNTR-M3,VS-6CWQ10FNTR-M3,74.041,-101.669,-90.0,top
D5,SM712_SOT23,SOT-23,81.5086,-55.8546,180.0,top
D6,ZMM5V6,D_MiniMELF,124.3356,-69.8474,180.0,top
D7,SMBJ51CA,D_SMB,120.7516,-81.6864,90.0,top
F1,Fuse,Fuse_Littelfuse_178.6764.0001,130.3782,-82.0614,0.0,top
J1,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",132.5372,-74.7776,90.0,top
J3,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,49.149,-128.347,0.0,top
J4,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",89.7086,-35.1397,180.0,top
J5,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",113.2544,-35.0635,180.0,top
J6,Conn_02x04_Odd_Even,IDC-Header_2x04_P2.54mm_Vertical,124.079,-91.5575,90.0,top
J7,Conn_02x04_Odd_Even,IDC-Header_2x04_P2.54mm_Vertical,124.079,-101.4635,90.0,top
J8,Conn_02x04_Odd_Even,IDC-Header_2x04_P2.54mm_Vertical,124.101,-111.3695,90.0,top
J9,Conn_02x04_Odd_Even,IDC-Header_2x04_P2.54mm_Vertical,124.101,-121.2755,90.0,top
J10,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",103.759,-127.508,0.0,top
J11,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",42.3025,-62.285,-90.0,top
J12,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",42.3025,-88.955,-90.0,top
J13,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",42.3025,-106.735,-90.0,top
J14,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,89.7332,-51.7652,90.0,top
Je1,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",42.3025,-44.505,-90.0,top
L1,MWSA1206S-330MT,MWSA1004S-330MT,96.758,-61.69,90.0,top
L2,MWSA1004S-330MT,MWSA1004S-330MT,64.014,-99.432,90.0,top
Q1,WSF50P10,TO-252-2,124.5108,-74.5236,0.0,top
R1,10k,R_0402_1005Metric,52.4764,-36.4236,90.0,top
R2,10k,R_0402_1005Metric,50.1142,-35.2806,90.0,top
R3,10k,R_0402_1005Metric,48.0568,-34.2392,90.0,top
R4,33,R_0402_1005Metric,69.0118,-67.437,90.0,top
R5,33,R_0402_1005Metric,69.5198,-65.5066,90.0,top
R6,10k,R_0402_1005Metric,45.7708,-32.9946,90.0,top
R7,1K,R_0402_1005Metric,114.808,-64.897,90.0,top
R8,1K,R_0402_1005Metric,105.164,-60.198,-90.0,top
R9,1K,R_0402_1005Metric,114.554,-71.374,180.0,top
R10,1K,R_0402_1005Metric,114.554,-70.104,180.0,top
R11,1K,R_0402_1005Metric,105.156,-64.77,90.0,top
R12,1K,R_0402_1005Metric,114.816,-60.198,-90.0,top
R13,1K,R_0402_1005Metric,104.648,-70.612,90.0,top
R14,1K,R_0402_1005Metric,105.664,-69.469,-90.0,top
R15,1K,R_0402_1005Metric,114.808,-94.869,90.0,top
R16,1K,R_0402_1005Metric,105.164,-90.17,-90.0,top
R17,1K,R_0402_1005Metric,114.554,-101.346,180.0,top
R18,1K,R_0402_1005Metric,114.554,-100.076,180.0,top
R19,1K,R_0402_1005Metric,105.156,-94.742,90.0,top
R20,1K,R_0402_1005Metric,114.816,-90.17,-90.0,top
R21,1K,R_0402_1005Metric,104.648,-100.584,90.0,top
R22,1K,R_0402_1005Metric,105.664,-99.441,-90.0,top
R23,1K,R_0402_1005Metric,114.808,-109.982,90.0,top
R24,1K,R_0402_1005Metric,105.164,-105.283,-90.0,top
R25,1K,R_0402_1005Metric,114.554,-116.459,180.0,top
R26,1K,R_0402_1005Metric,114.554,-115.189,180.0,top
R27,1K,R_0402_1005Metric,105.156,-109.855,90.0,top
R28,1K,R_0402_1005Metric,114.816,-105.283,-90.0,top
R29,1K,R_0402_1005Metric,104.648,-115.697,90.0,top
R30,1K,R_0402_1005Metric,105.664,-114.554,-90.0,top
R31,1K,R_0402_1005Metric,114.808,-49.657,90.0,top
R32,1K,R_0402_1005Metric,105.164,-44.958,-90.0,top
R33,1K,R_0402_1005Metric,114.554,-56.134,180.0,top
R34,1K,R_0402_1005Metric,114.554,-54.864,180.0,top
R35,1K,R_0402_1005Metric,105.156,-49.53,90.0,top
R36,1K,R_0402_1005Metric,114.816,-44.958,-90.0,top
R37,1K,R_0402_1005Metric,104.648,-55.372,90.0,top
R38,1K,R_0402_1005Metric,105.664,-54.229,-90.0,top
R39,1k,R_1206_3216Metric,55.6514,-70.8406,90.0,top
R40,DNI,C_0402_1005Metric,63.7562,-69.717281,-90.0,top
R41,1k,R_1206_3216Metric,74.295,-62.6618,0.0,top
R42,10k,R_0402_1005Metric,72.009,-52.832,180.0,top
R43,27,R_0603_1608Metric,58.6512,-59.3373,0.0,top
R44,27,R_0603_1608Metric,58.7142,-57.8133,0.0,top
R45,68R,R_0603_1608Metric,98.806,-52.578,-90.0,top
R46,330k,R_0402_1005Metric,78.597,-68.167,-90.0,top
R47,68k,R_0402_1005Metric,79.361,-70.072,0.0,top
R48,29.4k,R_0402_1005Metric,88.63,-66.77,-90.0,top
R49,10k,R_0402_1005Metric,85.836,-71.088,0.0,top
R50,3.3k,R_0402_1005Metric,85.836,-70.072,180.0,top
R51,20k,R_0805_2012Metric,87.122,-94.742,180.0,top
R52,1k,R_1206_3216Metric,56.515,-97.9785,-90.0,top
R53,49.9k 1%,R_0805_2012Metric,87.122,-92.583,0.0,top
R54,10 1W,R_2512_6332Metric,85.725,-104.775,0.0,top
R55,9.1k,R_0603_1608Metric,83.566,-88.519,0.0,top
R56,1k,R_0603_1608Metric,83.566,-90.551,0.0,top
R57,10k,R_0402_1005Metric,69.9008,-54.102,0.0,top
R58,DNI,R_0402_1005Metric,99.1362,-47.4472,180.0,top
R59,120 (DNI),R_1206_3216Metric,84.582,-56.134,90.0,top
R60,DNI,R_0402_1005Metric,101.473,-48.895,180.0,top
R61,4.7k,R_0805_2012Metric,119.888,-70.0278,180.0,top
SW1,SW_DIP_x01,TS-1187A-B-A-B,60.6552,-128.3208,180.0,top
SW2,SW_DIP_x01,TS-1187A-B-A-B,72.6694,-128.2954,180.0,top
SW3,SW_DIP_x04,SW_DIP_SPSTx04_Slide_Omron_A6H-4101_W6.15mm_P1.27mm,57.9358,-34.3408,270.0,top
U1,StepperDriver_Conn2,PinSocket_1x14_P2.54mm_Vertical,80.55,-78.69,180.0,top
U3,StepperDriver_Conn1,PinSocket_1x14_P2.54mm_Vertical,113.57,-39.32,0.0,top
U4,EL357N-G,SOP254P700X200-4N,109.982,-65.659,180.0,top
U5,EL357N-G,SOP254P700X200-4N,109.99,-60.96,180.0,top
U6,EL0631(TA),SSOP-8_3.95x5.21x3.27mm_P1.27mm,109.855,-70.866,90.0,top
U7,StepperDriver_Conn2,PinSocket_1x14_P2.54mm_Vertical,43.075,-78.715,180.0,top
U9,StepperDriver_Conn1,PinSocket_1x14_P2.54mm_Vertical,76.095,-39.345,0.0,top
U10,EL357N-G,SOP254P700X200-4N,109.982,-95.631,180.0,top
U11,EL357N-G,SOP254P700X200-4N,109.99,-90.932,180.0,top
U12,EL0631(TA),SSOP-8_3.95x5.21x3.27mm_P1.27mm,109.855,-100.838,90.0,top
U13,EL357N-G,SOP254P700X200-4N,109.982,-110.744,180.0,top
U14,EL357N-G,SOP254P700X200-4N,109.99,-106.045,180.0,top
U15,EL0631(TA),SSOP-8_3.95x5.21x3.27mm_P1.27mm,109.855,-115.951,90.0,top
U16,EL357N-G,SOP254P700X200-4N,109.982,-50.419,180.0,top
U17,EL357N-G,SOP254P700X200-4N,109.99,-45.72,180.0,top
U18,EL0631(TA),SSOP-8_3.95x5.21x3.27mm_P1.27mm,109.855,-55.626,90.0,top
U19,StepperDriver_Conn2,PinSocket_1x14_P2.54mm_Vertical,113.55,-83.795,0.0,top
U21,StepperDriver_Conn1,PinSocket_1x14_P2.54mm_Vertical,80.53,-123.165,180.0,top
U22,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,59.6922,-68.447281,0.0,top
U23,RP2040,RP2040-QFN-56,66.6822,-60.4373,0.0,top
U24,tps54331DR,SOIC-8_3.9x4.9mm_P1.27mm,83.042,-66.77,270.0,top
U25,LM5576,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.85x4mm,85.725,-99.314,90.0,top
U26,SP3485EN-L/TR,SOIC-8_3.9x4.9mm_P1.27mm,74.549,-56.388,270.0,top
U27,StepperDriver_Conn2,PinSocket_1x14_P2.54mm_Vertical,76.2,-83.82,0.0,top
U29,StepperDriver_Conn1,PinSocket_1x14_P2.54mm_Vertical,43.18,-123.19,180.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,73.8682,-67.6108,-90.0,top
